scope,group,pid,relation,violations,checkable,uncheckable,uncheckable_rate,mean_document_relations_uncheckable,mean_document_relations_checkable
overall,ALL,,all relations,2769,2547,222,0.08017334777898158,16.954954954954953,15.647035728307813
model,DeepSeek-V3,,all relations,755,691,64,0.0847682119205298,17.515625,16.519536903039075
model,Qwen2.5-14B,,all relations,667,632,35,0.05247376311844078,15.028571428571428,14.378164556962025
model,Qwen2.5-32B,,all relations,573,540,33,0.05759162303664921,12.666666666666666,13.13888888888889
model,Qwen2.5-72B,,all relations,774,684,90,0.11627906976744186,18.877777777777776,17.91812865497076
relation,P1001,P1001,applies to jurisdiction,73,67,6,0.0821917808219178,14.0,15.238805970149254
relation,P131,P131,located in the administrative territorial entity,37,34,3,0.08108108108108109,12.666666666666666,15.205882352941176
relation,P1344,P1344,participant in,820,798,22,0.026829268292682926,15.909090909090908,15.221804511278195
relation,P150,P150,contains administrative territorial entity,205,181,24,0.11707317073170732,14.458333333333334,14.558011049723756
relation,P161,P161,cast member,62,60,2,0.03225806451612903,18.0,18.383333333333333
relation,P17,P17,country,8,6,2,0.25,23.0,14.666666666666666
relation,P175,P175,performer,222,201,21,0.0945945945945946,18.238095238095237,16.039800995024876
relation,P264,P264,record label,18,18,0,0.0,nan,18.11111111111111
relation,P27,P27,country of citizenship,14,14,0,0.0,nan,10.928571428571429
relation,P361,P361,part of,30,28,2,0.06666666666666667,14.0,16.571428571428573
relation,P463,P463,member of,62,55,7,0.11290322580645161,22.857142857142858,13.781818181818181
relation,P495,P495,country of origin,210,192,18,0.08571428571428572,15.5,14.963541666666666
relation,P527,P527,has part,292,221,71,0.24315068493150685,17.816901408450704,16.683257918552037
relation,P569,P569,date of birth,19,15,4,0.21052631578947367,20.5,17.066666666666666
relation,P571,P571,inception (date founded/created),17,17,0,0.0,nan,15.764705882352942
relation,P577,P577,publication date,39,34,5,0.1282051282051282,18.2,18.235294117647058
relation,P710,P710,participant,396,373,23,0.05808080808080808,16.82608695652174,16.646112600536192
relation,P800,P800,notable work,245,233,12,0.04897959183673469,15.666666666666666,15.03862660944206
