setting,pid,relation,violations,checkable,sound,unsound,soundness,ci95_lower,ci95_upper
holdout,P1001,applies to jurisdiction,73,67,67,0,1.0,0.9464303458729032,1.0
holdout,P131,located in the administrative territorial entity,273,263,261,2,0.9923954372623575,0.9728012142847837,0.9990777217377919
holdout,P1344,participant in,933,905,901,4,0.9955801104972376,0.9887223006226075,0.9987944556538463
holdout,P150,contains administrative territorial entity,262,233,233,0,1.0,0.9842925682535313,1.0
holdout,P161,cast member,86,84,84,0,1.0,0.9570350803704349,1.0
holdout,P17,country,19,16,16,0,1.0,0.7940927857921772,1.0
holdout,P175,performer,233,212,212,0,1.0,0.9827501374834041,1.0
holdout,P264,record label,21,20,20,0,1.0,0.8315665290169146,1.0
holdout,P27,country of citizenship,125,119,119,0,1.0,0.9694765551462038,1.0
holdout,P361,part of,171,157,157,0,1.0,0.9767778353966748,1.0
holdout,P463,member of,79,71,71,0,1.0,0.9493705920455963,1.0
holdout,P495,country of origin,214,196,196,0,1.0,0.9813551920506699,1.0
holdout,P527,has part,412,307,307,0,1.0,0.9880560085874356,1.0
holdout,P569,date of birth,41,36,36,0,1.0,0.902606244085508,1.0
holdout,P571,inception (date founded/created),18,18,18,0,1.0,0.8146980318621477,1.0
holdout,P577,publication date,108,97,97,0,1.0,0.9626843630912639,1.0
holdout,P710,participant,447,420,420,0,1.0,0.9912554119560388,1.0
holdout,P800,notable work,294,280,280,0,1.0,0.9869118352967033,1.0
in_source,P1001,applies to jurisdiction,73,67,67,0,1.0,0.9464303458729032,1.0
in_source,P131,located in the administrative territorial entity,37,34,34,0,1.0,0.8971820757409874,1.0
in_source,P1344,participant in,820,798,798,0,1.0,0.9953880120719741,1.0
in_source,P150,contains administrative territorial entity,205,181,181,0,1.0,0.9798257301870499,1.0
in_source,P161,cast member,62,60,60,0,1.0,0.9403705077138331,1.0
in_source,P17,country,8,6,6,0,1.0,0.5407418735600995,1.0
in_source,P175,performer,222,201,201,0,1.0,0.9818147499456137,1.0
in_source,P264,record label,18,18,18,0,1.0,0.8146980318621477,1.0
in_source,P27,country of citizenship,14,14,14,0,1.0,0.7683642383498834,1.0
in_source,P361,part of,30,28,28,0,1.0,0.8765638814997362,1.0
in_source,P463,member of,62,55,55,0,1.0,0.9351292391745754,1.0
in_source,P495,country of origin,210,192,192,0,1.0,0.9809704778312202,1.0
in_source,P527,has part,292,221,221,0,1.0,0.9834467733554344,1.0
in_source,P569,date of birth,19,15,15,0,1.0,0.7819806390894659,1.0
in_source,P571,inception (date founded/created),17,17,17,0,1.0,0.8049356770309067,1.0
in_source,P577,publication date,39,34,34,0,1.0,0.8971820757409874,1.0
in_source,P710,participant,396,373,373,0,1.0,0.9901589855823274,1.0
in_source,P800,notable work,245,233,233,0,1.0,0.9842925682535313,1.0
schema_only,P1001,applies to jurisdiction,66,63,59,4,0.9365079365079365,0.8453393226046225,0.9824312067366454
schema_only,P131,located in the administrative territorial entity,71,63,63,0,1.0,0.9431276476679837,1.0
schema_only,P1344,participant in,598,568,558,10,0.9823943661971831,0.9678615431953879,0.9915259436418498
schema_only,P150,contains administrative territorial entity,413,375,374,1,0.9973333333333333,0.9852325342093523,0.9999324881244045
schema_only,P161,cast member,86,84,84,0,1.0,0.9570350803704349,1.0
schema_only,P17,country,38,30,30,0,1.0,0.8842966917779722,1.0
schema_only,P175,performer,269,248,241,7,0.9717741935483871,0.9427113039282552,0.9885780182677972
schema_only,P264,record label,23,22,22,0,1.0,0.8456274871844254,1.0
schema_only,P27,country of citizenship,224,213,213,0,1.0,0.9828304234890595,1.0
schema_only,P361,part of,48,46,46,0,1.0,0.9229381729480993,1.0
schema_only,P463,member of,214,187,176,11,0.9411764705882353,0.8971875706098442,0.9702729532666323
schema_only,P495,country of origin,92,82,82,0,1.0,0.9560105458131576,1.0
schema_only,P527,has part,350,279,279,0,1.0,0.9868652337498802,1.0
schema_only,P569,date of birth,41,36,36,0,1.0,0.902606244085508,1.0
schema_only,P571,inception (date founded/created),18,18,18,0,1.0,0.8146980318621477,1.0
schema_only,P577,publication date,91,85,85,0,1.0,0.9575296600887508,1.0
schema_only,P710,participant,442,415,404,11,0.9734939759036144,0.9530690904375108,0.9866956411108424
schema_only,P800,notable work,338,308,306,2,0.9935064935064936,0.9767413332375446,0.9992126365575021
