model,budget_fraction,documents_reviewed,method,errors_discovered,errors_per_document,error_recall,random_ci95_lower,random_ci95_upper
Qwen2.5-14B,0.05,15,certificate,195,13.0,0.06703334479202475,,
Qwen2.5-14B,0.05,15,cross_model_disagreement,139,9.266666666666667,0.047782743210725336,,
Qwen2.5-14B,0.05,15,random,147.0245,9.801633333333333,0.05054125128910278,111.0,187.0
Qwen2.5-14B,0.1,30,certificate,328,10.933333333333334,0.11275352354761087,,
Qwen2.5-14B,0.1,30,cross_model_disagreement,274,9.133333333333333,0.09419044345135785,,
Qwen2.5-14B,0.1,30,random,294.012,9.8004,0.10106978343073221,245.0,348.0
Qwen2.5-14B,0.2,60,certificate,664,11.066666666666666,0.22825713303540734,,
Qwen2.5-14B,0.2,60,cross_model_disagreement,549,9.15,0.1887246476452389,,
Qwen2.5-14B,0.2,60,random,588.6025,9.810041666666667,0.20233843245101407,524.0,659.0249999999999
Qwen2.5-32B,0.05,15,certificate,157,10.466666666666667,0.06013021830716201,,
Qwen2.5-32B,0.05,15,cross_model_disagreement,122,8.133333333333333,0.04672539256989659,,
Qwen2.5-32B,0.05,15,random,131.8265,8.788433333333334,0.050488893144389126,99.0,167.0
Qwen2.5-32B,0.1,30,certificate,322,10.733333333333333,0.12332439678284182,,
Qwen2.5-32B,0.1,30,cross_model_disagreement,254,8.466666666666667,0.09728073535044045,,
Qwen2.5-32B,0.1,30,random,264.377,8.812566666666667,0.10125507468402911,218.975,310.0
Qwen2.5-32B,0.2,60,certificate,537,8.95,0.20566832631175794,,
Qwen2.5-32B,0.2,60,cross_model_disagreement,580,9.666666666666666,0.22213711221754118,,
Qwen2.5-32B,0.2,60,random,528.0005,8.800008333333333,0.20222156261968594,467.975,590.0
Qwen2.5-72B,0.05,15,certificate,210,14.0,0.06013745704467354,,
Qwen2.5-72B,0.05,15,cross_model_disagreement,183,12.2,0.05240549828178694,,
Qwen2.5-72B,0.05,15,random,176.329,11.755266666666667,0.05049513172966781,137.0,220.0
Qwen2.5-72B,0.1,30,certificate,446,14.866666666666667,0.1277205040091638,,
Qwen2.5-72B,0.1,30,cross_model_disagreement,373,12.433333333333334,0.106815578465063,,
Qwen2.5-72B,0.1,30,random,353.0915,11.769716666666666,0.10111440435280641,300.0,413.0
Qwen2.5-72B,0.2,60,certificate,757,12.616666666666667,0.21678121420389462,,
Qwen2.5-72B,0.2,60,cross_model_disagreement,764,12.733333333333333,0.21878579610538373,,
Qwen2.5-72B,0.2,60,random,705.38,11.756333333333334,0.2019988545246277,627.975,781.0
DeepSeek-V3,0.05,15,certificate,196,13.066666666666666,0.05942995755003032,,
DeepSeek-V3,0.05,15,cross_model_disagreement,168,11.2,0.050939963614311703,,
DeepSeek-V3,0.05,15,random,166.874,11.124933333333333,0.05059854457246816,130.0,208.0
DeepSeek-V3,0.1,30,certificate,374,12.466666666666667,0.1134020618556701,,
DeepSeek-V3,0.1,30,cross_model_disagreement,307,10.233333333333333,0.09308671922377199,,
DeepSeek-V3,0.1,30,random,333.891,11.129700000000001,0.10124044875682232,280.0,392.0
DeepSeek-V3,0.2,60,certificate,791,13.183333333333334,0.23984232868405095,,
DeepSeek-V3,0.2,60,cross_model_disagreement,703,11.716666666666667,0.21315949060036385,,
DeepSeek-V3,0.2,60,random,665.7835,11.096391666666667,0.20187492419648273,592.975,739.0
